introduced_at_level,card_id,name,gold,aura,allowed_slot_types,cell_treatment_tags,cell_treatment_heals_inherited,cell_debuff_1,cell_debuff_2,capabilities,description
L1_MILLER_BARN,S_BROAD_LOGGING,Перо Всевидящего,2,2,OBS_LOGS,Ясность,,Путаница,,HAS_LOGS (Широкое логирование),"Записывает всё подряд — каждый звук, шорох и пролетевшего комара. В таком потоке шума нужного не найдёшь."
L2_GATEWAY_PASS,S_NET_JOURNAL,Сетевой Журнал,4,0,NET_ROUTING,Ясность | Аудит,D_AUDIT_NEEDED,Переполнение,,HAS_ACCESS_LOGS (Журнал доступа),"Фиксирует все соединения на уровне сети — кто подключился и когда. Технически сложно, но предсказуемо."
L4_ANASTASIA_GOLDEN,S_LIB_LOGS,Хроника Читальни,2,3,OBS_LOGS,Ясность | Аудит,D_AUDIT_NEEDED,Переполнение,,HAS_ACCESS_LOGS (Журнал доступа),"Ведёт подробный журнал каждого обращения к фолиантам. Дёшево, но операционный риск высок — данные чувствительны."
L4_ANASTASIA_GOLDEN,S_LOGGING,Перо Летописца,2,1,OBS_LOGS,Ясность,,Переполнение,,HAS_LOGS (Широкое логирование),Записывает события системы в журнал
L2_KESHA_CACHE,S_LOG_FILTER,Сито Смыслов,2,-1,OBS_FILTERS,Чистота,,,,HAS_LOG_FILTERING (Фильтр логов),Фильтрует и очищает поток логов — снижает объём любых журналов
L1_MILLER_BARN,S_ACCESS_LOGS,Книга Доступа,3,1,OBS_LOGS,Ясность | Аудит,D_AUDIT_NEEDED | D_NO_OBSERVABILITY,Переполнение,,HAS_ACCESS_LOGS (Журнал доступа),Ведёт аудитный журнал всех входов и обращений
L3_NEW_CASTLE,S_ALERTING,Набат Тревоги,2,1,OBS_ALERTS,,,,,HAS_ALERTING (Алерты),Оповещает о сбоях в реальном времени
L1_MILLER_BARN,S_TTL,Песочные Часы,2,2,ST_RETENTION,Чистота,,,,HAS_TTL (Автоочистка по времени),Автоматически истекает старые записи по времени
L1_MILLER_BARN,S_ROTATION,Метла Кладовщика,2,1,ST_RETENTION,Чистота,,,,HAS_ROTATION (Ротация данных),Периодически очищает и ротирует хранилище
L2_KESHA_CACHE,S_QUOTAS,Предел Закромов,2,1,ST_QUOTA,Чистота,,,,HAS_QUOTAS (Квоты арендаторов),Устанавливает жёсткие квоты на объём хранения
L1_LIBRARY_ORBS,S_INDEX,Клеймо Поиска,2,1,ST_INDEX,,,Переполнение,,HAS_INDEX (Индексирование),Индексирует данные для быстрого поиска
,S_SECRETS,Сейф Тайнописи,3,0,ST_SECRETS,,,,,HAS_STORAGE_SECRETS (Хранилище секретов),Шифрует и защищает секреты в хранилище
L2_KESHA_CACHE,S_AUTHZ,Страж Порогов,4,1,NET_AUTH,Изоляция,,,,HAS_AUTHZ (Изоляция доступа),Контролирует доступ — только своим
L3_GENNADY_LIGHTHOUSE,S_DNS,Глашатай Домена,2,1,NET_DNS,Адресность,,Компрометация,,HAS_DNS (DNS-резолвер),"Регистрирует постоянное имя службы в открытом реестре. Посланники наконец знают, куда идти — но адрес теперь виден всем."
L3_GENNADY_LIGHTHOUSE,S_PRIVATE_DNS,Тайный Адрес,8,1,NET_DNS,Адресность | Конфиденциальность,,,,HAS_DNS (DNS-резолвер),Регистрирует адрес только во внутреннем реестре. Не виден извне — но дороже обычного имени.
L3_GENNADY_LIGHTHOUSE,S_TLS_CERT,Печать Серта,2,1,NET_TLS,Шифрование,,,,HAS_TLS (Шифрование TLS),"Выдаёт TLS-сертификат, шифрует трафик"
L4_ANASTASIA_GOLDEN,S_GATEWAY_SEAL,Печать Врат,2,1,NET_TLS,Шифрование,,Компрометация,,HAS_TLS (Шифрование TLS),Шифрует трафик шлюза — и сразу ставит вопрос: кто вообще может войти?
L2_GATEWAY_PASS,S_DISCOVERY,Зов Разведчика,2,1,NET_DISCOVERY,Обнаружение,D_HIDDEN_NODES,Хрупкость,,HAS_DISCOVERY (Сервис-дискавери),Обнаруживает доступные эндпоинты сервисов
L3_GENNADY_LIGHTHOUSE,S_HEALTHCHECK,Сердцебиение,2,1,NET_DISCOVERY,,D_NEEDS_HEALTHCHECK | D_SPLIT_OVERLOAD,,,HAS_HEALTHCHECK (Проверка здоровья) | HAS_FAILOVER (Аварийное переключение),"Проверяет живость узлов, обеспечивает failover"
L3_GENNADY_LIGHTHOUSE,S_TRAFFIC_SPLIT,Весы Потоков,2,1,NET_ROUTING,Равновесие | Охлаждение,,Хрупкость,,HAS_TRAFFIC_SPLIT (Разделение трафика) | HAS_STABLE_ROUTING (Стабильные маршруты),Распределяет трафик по весам между эндпоинтами
L6_MARK_SHARDING,S_HASH_ROUTING,Якорь Сессии,4,1,NET_ROUTING,Привязка | Равновесие,,,,HAS_HASH_ROUTING (Хэш-роутинг),"Явная таблица привязки: каждый посланник закреплён за конкретным узлом. Дороже, но без автоматики и без каскадных эффектов."
L6_MARK_SHARDING,S_SHARD_KEY,Ключ Шардирования,3,1,NET_ROUTING,Распределение | Равновесие,,Переполнение,,HAS_HASH_ROUTING (Хэш-роутинг),Задаёт алгоритм распределения свитков по шардам. Голуби знают куда лететь — но шарды начинают расти неравномерно.
L6_MARK_SHARDING,S_REBALANCER,Перераспределитель Шардов,2,1,ST_QUOTA,Баланс,,Хрупкость,Горячий шард,,"Следит за размером шардов и перемещает данные, чтобы нагрузка распределялась равномерно."
L6_MARK_SHARDING,S_HOT_KEY_SPLITTER,Расщепитель Горячих Ключей,1,0,NET_ROUTING,Охлаждение,,,,,"Выносит горячие ключи в отдельные диапазоны, чтобы один шард не перегревался."
L6_MARK_SHARDING,S_SCHEMA_GUARD,Страж Схемы,3,1,ST_RETENTION,Согласованность,,Хрупкость,Горячий шард,,Проверяет что схема данных одинакова во всех шардах. Обнаружив расхождение — требует запустить миграцию.
L6_MARK_SHARDING,S_MIGRATION_DRY_RUN,Сухой Прогон Миграции,1,0,CD_TESTING,Проверка,D_REBALANCE_WINDOW | D_BACKFILL_UNVERIFIED,,,,"Прогоняет backfill и перераспределение на копии, прежде чем трогать живые шарды."
L6_MARK_SHARDING,S_REPLICATION_MANAGER,Управляющий Репликами,2,1,ST_RETENTION,Синхронность,,Хрупкость,Раскол кворума,,"Выравнивает данные между шардами через асинхронную репликацию. Схема сходится, но реплики поначалу отстают."
L6_MARK_SHARDING,S_QUORUM_KEEPER,Хранитель Кворума,2,0,NET_ROUTING,Кворум,,,,,"Назначает явный кворум записи, чтобы реплики не распались на две правды."
L6_MARK_SHARDING,S_REPLICA_SYNC,Синхронизатор Реплик,2,1,ST_QUOTA,Синхронность,,,,,"Принудительно догоняет отстающие реплики — задержка репликации устраняется, шарды снова согласованы."
L6_MARK_SHARDING,S_SHARD_FENCE,Ограда Шарда,2,1,NET_ROUTING,Изоляция | Равновесие,,Путаница,,,"Отрезает проблемный шард от входящего трафика — изоляция мгновенная, но шард перестаёт получать обновления."
L6_MARK_SHARDING,S_SHARD_PROBE,Зонд Шардов,2,1,NET_ROUTING,Живость,D_COLD_SHARD,,,,Регулярно опрашивает все шарды — обнаруживает замёрзшие шарды и возвращает их в строй.
L6_MARK_SHARDING,S_WRITE_AHEAD_LOG,Журнал Опережающей Записи,3,1,OBS_LOGS,Устойчивость | Ясность,,Переполнение,,HAS_LOGS (Широкое логирование),Фиксирует каждое изменение до его применения — при сбое систему можно восстановить из журнала.
L3_GENNADY_LIGHTHOUSE,S_LOCALITY_ROUTING,Карта Земель,8,1,NET_ROUTING,Равновесие,,,,HAS_STABLE_ROUTING (Стабильные маршруты),"Статическая таблица ближних врат: каждый посланник знает свой перекрёсток заранее. Дороже алгоритма, но предсказуема и не даёт побочных эффектов."
L6_MARK_SHARDING,S_POLICY_RESOLVER,Арбитр Печатей,3,0,NET_ROUTING,Арбитраж,,,,HAS_POLICY_RESOLVER (Арбитр конфликтов),Согласует конфликтующие политики маршрутизации
L2_GATEWAY_PASS,S_CICD,Ритуал Доставки,2,1,CD_PIPELINE,Доставка,D_NEEDS_MIGRATION,Хрупкость,,HAS_CICD (Пайплайн CI/CD),Автоматизирует доставку изменений в прод
L2_GATEWAY_PASS,S_ROLLBACK,Ключ Отката,2,1,CD_ROLLBACK,Откат,D_NEEDS_ROLLBACK,,,HAS_ROLLBACK (Откат изменений),Позволяет вернуться к предыдущей версии при сбое доставки
L2_LBAAS_FAIR_GATE,S_MR_GATES,Страж Врат MR,2,1,CD_GATES,Проверка,,,,HAS_MR_GATES (Гейты на влитие),Запрещает деплой без проверенного MR
L5_KIRA_API,S_API_CICD,Ритуал API-доставки,2,1,CD_PIPELINE,Доставка,D_NEEDS_MIGRATION,Хрупкость,Непроверенный релиз,HAS_CICD (Пайплайн CI/CD),Автоматизирует выкладку партнёрского API и вскрывает обязательные release-хвосты
L5_KIRA_API,S_API_MR_GATES,Страж Врат API,2,1,CD_GATES,Проверка | Совместимость,,Разъезд контрактов,,HAS_MR_GATES (Гейты на влитие),Запрещает деплой партнёрского API без проверенного MR и вскрывает контрактный хвост
L5_KIRA_API,S_CONTRACT_TESTS,Испытания Договоров,1,0,CD_TESTING,Совместимость,,,,HAS_CONTRACT_TESTS (Контрактные тесты),Проверяет партнёрские API-контракты перед релизом
L7_EDWARD_MULTIDC,S_GLOBAL_HEALTHCHECK,Глобальное Сердцебиение,2,1,NET_DISCOVERY,Надёжность,D_FAILOVER_LOOP | D_NEEDS_HEALTHCHECK,Хрупкость,,HAS_HEALTHCHECK (Проверка здоровья) | HAS_FAILOVER (Аварийное переключение),Проверяет оба дата-центра из внешнего контура и останавливает петлю взаимного failover.
L7_EDWARD_MULTIDC,S_REGION_RECONCILER,Сверщик Регионов,2,0,CD_GATES,Согласованность,,,,HAS_REGION_RECONCILE (Сверка регионов),Сравнивает настройки двух дата-центров перед релизом и вскрывает drift контрактов между регионами.
L7_EDWARD_MULTIDC,S_MULTI_REGION_DRILL,Учение Двух Обелисков,2,0,CD_TESTING,Проверка,D_UNTESTED_FAILOVER,,,HAS_DR_DRILL (Учение аварийного переключения),Прогоняет аварийное переключение и сверку региональных контрактов на копии до настоящего отказа.
L7_EDWARD_MULTIDC,S_CAPACITY_MIRROR,Зеркало Ёмкости,2,0,ST_RETENTION,Резерв,,Переполнение,,HAS_RESERVE_CAPACITY (Резервная ёмкость),"Выравнивает резервную ёмкость между дата-центрами, но требует общих квот на зеркале."
