icon,name,removed_by_treatment_tags
⚗️,Переполнение,Распределение | Чистота
⚡,Противоречие,Арбитраж
🔓,Компрометация,Изоляция | Конфиденциальность | Шифрование
🙈,Слепота,Адресность | Ясность
🕸️,Хрупкость,Синхронность | Устойчивость
🌀,Недоставка,Доставка
🪰,Путаница,Порядок | Равновесие | Согласование
🕳️,Дыра аудита,Аудит
🚪,Непроверенный релиз,Проверка
📜,Разъезд контрактов,Проверка | Совместимость | Согласованность
🔥,Горячий шард,Баланс | Охлаждение | Привязка
🧠,Раскол кворума,Кворум | Согласование | Согласованность
🌑,Тёмный шард,Ясность
🔁,Петля failover,Надёжность | Устойчивость
🏚️,Провал резерва,Резерв