introduced_at_level,name,gold,aura,allowed_slot_types,cell_treatment_tags,cell_debuff_1,cell_debuff_2,description
L1_MILLER_BARN,Перо Всевидящего,2,2,OBS_LOGS,Ясность,Путаница,,"Записывает всё подряд — каждый звук, шорох и пролетевшего комара. В таком потоке шума нужного не найдёшь."
L2_GATEWAY_PASS,Сетевой Журнал,4,0,NET_ROUTING,Ясность | Аудит,Переполнение,,"Фиксирует все соединения на уровне сети — кто подключился и когда. Технически сложно, но предсказуемо."
L4_ANASTASIA_GOLDEN,Хроника Читальни,2,3,OBS_LOGS,Ясность | Аудит,Переполнение,,"Ведёт подробный журнал каждого обращения к фолиантам. Дёшево, но операционный риск высок — данные чувствительны."
L4_ANASTASIA_GOLDEN,Перо Летописца,2,1,OBS_LOGS,Ясность,Переполнение,,Записывает события системы в журнал
L2_KESHA_CACHE,Сито Смыслов,2,-1,OBS_FILTERS,Чистота,,,Фильтрует и очищает поток логов — снижает объём любых журналов
L1_MILLER_BARN,Книга Доступа,3,1,OBS_LOGS,Ясность | Аудит,Переполнение,,Ведёт аудитный журнал всех входов и обращений
L3_NEW_CASTLE,Набат Тревоги,2,1,OBS_ALERTS,,,,Оповещает о сбоях в реальном времени
L1_MILLER_BARN,Песочные Часы,2,2,ST_RETENTION,Чистота,,,Автоматически истекает старые записи по времени
L1_MILLER_BARN,Метла Кладовщика,2,1,ST_RETENTION,Чистота,,,Периодически очищает и ротирует хранилище
L2_KESHA_CACHE,Предел Закромов,2,1,ST_QUOTA,Чистота,,,Устанавливает жёсткие квоты на объём хранения
L1_LIBRARY_ORBS,Клеймо Поиска,2,1,ST_INDEX,,Переполнение,,Индексирует данные для быстрого поиска
,Сейф Тайнописи,3,0,ST_SECRETS,,,,Шифрует и защищает секреты в хранилище
L2_KESHA_CACHE,Страж Порогов,4,1,NET_AUTH,Изоляция,,,Контролирует доступ — только своим
L3_GENNADY_LIGHTHOUSE,Глашатай Домена,2,1,NET_DNS,Адресность,Компрометация,,"Регистрирует постоянное имя службы в открытом реестре. Посланники наконец знают, куда идти — но адрес теперь виден всем."
L3_GENNADY_LIGHTHOUSE,Тайный Адрес,8,1,NET_DNS,Адресность | Конфиденциальность,,,Регистрирует адрес только во внутреннем реестре. Не виден извне — но дороже обычного имени.
L3_GENNADY_LIGHTHOUSE,Печать Серта,2,1,NET_TLS,Шифрование,,,"Выдаёт TLS-сертификат, шифрует трафик"
L4_ANASTASIA_GOLDEN,Печать Врат,2,1,NET_TLS,Шифрование,Компрометация,,Шифрует трафик шлюза — и сразу ставит вопрос: кто вообще может войти?
L2_GATEWAY_PASS,Зов Разведчика,2,1,NET_DISCOVERY,Обнаружение,Хрупкость,,Обнаруживает доступные эндпоинты сервисов
L3_GENNADY_LIGHTHOUSE,Сердцебиение,2,1,NET_DISCOVERY,,,,"Проверяет живость узлов, обеспечивает failover"
L3_GENNADY_LIGHTHOUSE,Весы Потоков,2,1,NET_ROUTING,Равновесие | Охлаждение,Хрупкость,,Распределяет трафик по весам между эндпоинтами
L6_MARK_SHARDING,Якорь Сессии,4,1,NET_ROUTING,Привязка | Равновесие,,,"Явная таблица привязки: каждый посланник закреплён за конкретным узлом. Дороже, но без автоматики и без каскадных эффектов."
L6_MARK_SHARDING,Ключ Шардирования,3,1,NET_ROUTING,Распределение | Равновесие,Переполнение,,Задаёт алгоритм распределения свитков по шардам. Голуби знают куда лететь — но шарды начинают расти неравномерно.
L6_MARK_SHARDING,Перераспределитель Шардов,2,1,ST_QUOTA,Баланс,Хрупкость,Горячий шард,"Следит за размером шардов и перемещает данные, чтобы нагрузка распределялась равномерно."
L6_MARK_SHARDING,Расщепитель Горячих Ключей,1,0,NET_ROUTING,Охлаждение,,,"Выносит горячие ключи в отдельные диапазоны, чтобы один шард не перегревался."
L6_MARK_SHARDING,Страж Схемы,3,1,ST_RETENTION,Согласованность,Хрупкость,Горячий шард,Проверяет что схема данных одинакова во всех шардах. Обнаружив расхождение — требует запустить миграцию.
L6_MARK_SHARDING,Сухой Прогон Миграции,1,0,CD_TESTING,Проверка,,,"Прогоняет backfill и перераспределение на копии, прежде чем трогать живые шарды."
L6_MARK_SHARDING,Управляющий Репликами,2,1,ST_RETENTION,Синхронность,Хрупкость,Раскол кворума,"Выравнивает данные между шардами через асинхронную репликацию. Схема сходится, но реплики поначалу отстают."
L6_MARK_SHARDING,Хранитель Кворума,2,0,NET_ROUTING,Кворум,,,"Назначает явный кворум записи, чтобы реплики не распались на две правды."
L6_MARK_SHARDING,Синхронизатор Реплик,2,1,ST_QUOTA,Синхронность,,,"Принудительно догоняет отстающие реплики — задержка репликации устраняется, шарды снова согласованы."
L6_MARK_SHARDING,Ограда Шарда,2,1,NET_ROUTING,Изоляция | Равновесие,Путаница,,"Отрезает проблемный шард от входящего трафика — изоляция мгновенная, но шард перестаёт получать обновления."
L6_MARK_SHARDING,Зонд Шардов,2,1,NET_ROUTING,Живость,,,Регулярно опрашивает все шарды — обнаруживает замёрзшие шарды и возвращает их в строй.
L6_MARK_SHARDING,Журнал Опережающей Записи,3,1,OBS_LOGS,Устойчивость | Ясность,Переполнение,,Фиксирует каждое изменение до его применения — при сбое систему можно восстановить из журнала.
L3_GENNADY_LIGHTHOUSE,Карта Земель,8,1,NET_ROUTING,Равновесие,,,"Статическая таблица ближних врат: каждый посланник знает свой перекрёсток заранее. Дороже алгоритма, но предсказуема и не даёт побочных эффектов."
L6_MARK_SHARDING,Арбитр Печатей,3,0,NET_ROUTING,Арбитраж,,,Согласует конфликтующие политики маршрутизации
L2_GATEWAY_PASS,Ритуал Доставки,2,1,CD_PIPELINE,Доставка,Хрупкость,,Автоматизирует доставку изменений в прод
L2_GATEWAY_PASS,Ключ Отката,2,1,CD_ROLLBACK,Откат,,,Позволяет вернуться к предыдущей версии при сбое доставки
L2_LBAAS_FAIR_GATE,Страж Врат MR,2,1,CD_GATES,Проверка,,,Запрещает деплой без проверенного MR
L5_KIRA_API,Ритуал API-доставки,2,1,CD_PIPELINE,Доставка,Хрупкость,Непроверенный релиз,Автоматизирует выкладку партнёрского API и вскрывает обязательные release-хвосты
L5_KIRA_API,Страж Врат API,2,1,CD_GATES,Проверка | Совместимость,Разъезд контрактов,,Запрещает деплой партнёрского API без проверенного MR и вскрывает контрактный хвост
L5_KIRA_API,Испытания Договоров,1,0,CD_TESTING,Совместимость,,,Проверяет партнёрские API-контракты перед релизом
L7_EDWARD_MULTIDC,Глобальное Сердцебиение,2,1,NET_DISCOVERY,Надёжность,Хрупкость,,Проверяет оба дата-центра из внешнего контура и останавливает петлю взаимного failover.
L7_EDWARD_MULTIDC,Сверщик Регионов,2,0,CD_GATES,Согласованность,,,Сравнивает настройки двух дата-центров перед релизом и вскрывает drift контрактов между регионами.
L7_EDWARD_MULTIDC,Учение Двух Обелисков,2,0,CD_TESTING,Проверка,,,Прогоняет аварийное переключение и сверку региональных контрактов на копии до настоящего отказа.
L7_EDWARD_MULTIDC,Зеркало Ёмкости,2,0,ST_RETENTION,Резерв,Переполнение,,"Выравнивает резервную ёмкость между дата-центрами, но требует общих квот на зеркале."