preset_id,preset_name,description,default_install_cost_gold,slot_count,slot_type_1,slot_type_2,slot_type_3,slot_type_4,slot_type_5,used_by_level_instances
MP_OBS_AUDIT_BASIC,Аудитный журнал,"Стандартная наблюдаемость: журнал, фильтр шума и ритуальный слот.",1,3,OBS_LOGS,OBS_FILTERS,RITUAL_OBS,,,L1_MILLER_BARN:obs0 | L2_KESHA_CACHE:obs_l2 | L4_ANASTASIA_GOLDEN:obs_l4 | L5_KIRA_API:obs_l5 | L6_MARK_SHARDING:obs_l6 | L7_EDWARD_MULTIDC:audit_l7 | L1_LIBRARY_ORBS:obs1 | L2_GATEWAY_PASS:obs_pass
MP_OBS_ALERTING,Сторожевая башня,"Логи, фильтр и алерты — наблюдение с активной реакцией.",2,3,OBS_LOGS,OBS_FILTERS,OBS_ALERTS,,,L3_NEW_CASTLE:obs3
MP_OBS_DOUBLE_LOG_FILTER,Двойная летопись,Два потока логов с общим фильтром — подходит для гибридной наблюдаемости.,0,3,OBS_LOGS,OBS_LOGS,OBS_FILTERS,,,L2_LBAAS_FAIR_GATE:obs1
MP_OBS_CHRONICLE,Хроника,"Два независимых журнала и ритуал: используется, когда нужны параллельные летописи.",1,3,OBS_LOGS,OBS_LOGS,RITUAL_OBS,,,L5_KIRA_API:chronicle_l5
MP_OBS_COMPLIANCE,Палата Комплаенса,"Смешанный контур: логи, release-gate и DR-тест — выносит проверки из delivery.",1,4,OBS_LOGS,CD_GATES,CD_TESTING,RITUAL_OBS,,L7_EDWARD_MULTIDC:compliance_l7
MP_STORAGE_KEEPER,Хранилище-Хранитель,"Базовое хранилище: ретенция, квоты и ритуальный слот.",1,3,ST_RETENTION,ST_QUOTA,RITUAL_ST,,,L2_KESHA_CACHE:st_l2 | L6_MARK_SHARDING:st_l6 | L7_EDWARD_MULTIDC:capacity_l7 | L2_GATEWAY_PASS:st_pass | L2_LBAAS_FAIR_GATE:st1 | L3_NEW_CASTLE:st3
MP_STORAGE_INDEXED,Индексированный архив,"Хранилище с индексом, квотами и ретенцией — для поисковых сценариев.",0,3,ST_RETENTION,ST_INDEX,ST_QUOTA,,,L1_LIBRARY_ORBS:st1
MP_STORAGE_RETENTION_RITUAL,Малый погреб,"Минимальное хранилище: ретенция + ритуальный слот, для коротких уровней.",1,2,ST_RETENTION,RITUAL_ST,,,,L1_MILLER_BARN:st0
MP_STORAGE_BUFFER,Маршрутно-Складской Буфер,Совмещённый контур: маршрутизация и квоты в одном — экономит установку.,2,3,NET_ROUTING,ST_QUOTA,RITUAL_NET,,,L6_MARK_SHARDING:buffer_l6
MP_STORAGE_RESERVE,Резервный Перевал,"Резервная ёмкость, квоты и аварийный routing в одном дорогом контуре.",1,4,ST_RETENTION,ST_QUOTA,NET_ROUTING,RITUAL_NET,,L7_EDWARD_MULTIDC:reserve_l7
MP_NET_GATE_BASIC,Базовый шлюз,"Простой периметр: AuthZ, TLS и ритуальный слот.",1,3,NET_AUTH,NET_TLS,RITUAL_NET,,,L4_ANASTASIA_GOLDEN:net_l4_lite | L5_KIRA_API:net_l5
MP_NET_AUTH_ONLY,Калитка с печатью,Минимальный сетевой контур: только AuthZ и ритуальный слот.,2,2,NET_AUTH,RITUAL_NET,,,,L2_KESHA_CACHE:net_l2
MP_NET_RELIABILITY,Контур надёжности,AuthZ и два discovery-слота под локатор и healthcheck.,2,4,NET_AUTH,NET_DISCOVERY,NET_DISCOVERY,RITUAL_NET,,L5_KIRA_API:resilience_l5
MP_NET_EDGE,Край Обелисков,"Полный периметр: AuthZ, TLS, два discovery-слота и ритуальный слот.",2,5,NET_AUTH,NET_TLS,NET_DISCOVERY,NET_DISCOVERY,RITUAL_NET,L4_ANASTASIA_GOLDEN:net_l4 | L7_EDWARD_MULTIDC:edge_l7 | L3_NEW_CASTLE:net3
MP_NET_EDGE_ROUTING,Шлюз с роутингом,Периметр плюс отдельный routing-слот для классификации трафика.,2,5,NET_AUTH,NET_TLS,NET_DISCOVERY,NET_DISCOVERY,NET_ROUTING,L2_GATEWAY_PASS:net_pass
MP_NET_INFRA_POST,Инфраструктурный пост,"DNS-резолвер, TLS, два discovery-слота и ритуальный слот.",1,5,NET_DNS,NET_TLS,NET_DISCOVERY,NET_DISCOVERY,RITUAL_NET,L3_GENNADY_LIGHTHOUSE:net_l3_infra | L2_LBAAS_FAIR_GATE:net1
MP_NET_POSTAL,Почтовая станция,DNS и пара routing-слотов — для распределения по маршрутам.,2,4,NET_DNS,NET_ROUTING,NET_ROUTING,RITUAL_NET,,L3_GENNADY_LIGHTHOUSE:net_l3_relay
MP_NET_TRAFFIC,Весы Трафика,Routing и discovery в одной матрице — лёгкий альтернативный контур.,1,3,NET_ROUTING,NET_DISCOVERY,RITUAL_NET,,,L7_EDWARD_MULTIDC:traffic_l7
MP_NET_SHARD_ROUTING,Маршрутизатор Шардов,Два routing-слота для разных законов маршрутизации и ритуал.,2,3,NET_ROUTING,NET_ROUTING,RITUAL_NET,,,L6_MARK_SHARDING:net_l6
MP_NET_ROUTING_STAND,Стойка маршрутов,"Три routing-слота, AuthZ и ритуал — для тяжёлых маршрутных задач.",2,5,NET_ROUTING,NET_ROUTING,NET_ROUTING,NET_AUTH,RITUAL_NET,L3_GENNADY_LIGHTHOUSE:net_l3_routing
MP_NET_ROUTING_ONLY,Голый маршрут,Один routing-слот без обвязки — самый маленький сетевой контур.,2,1,NET_ROUTING,,,,,L1_LIBRARY_ORBS:net1
MP_DELIVERY_FULL,Конвейер доставки,"Полный delivery-контур: pipeline, gates, testing, rollback и ритуал.",1,5,CD_PIPELINE,CD_GATES,CD_TESTING,CD_ROLLBACK,RITUAL_CD,L5_KIRA_API:cd_l5 | L7_EDWARD_MULTIDC:release_l7
MP_DELIVERY_GATES,Гейтовый конвейер,Pipeline + gates + rollback — без отдельного testing-слота.,0,3,CD_PIPELINE,CD_GATES,CD_ROLLBACK,,,L2_LBAAS_FAIR_GATE:cd1 | L3_NEW_CASTLE:cd3
MP_DELIVERY_TESTING,Конвейер Миграций,Pipeline + testing + rollback + ритуал — для рискованных миграций.,1,4,CD_PIPELINE,CD_TESTING,CD_ROLLBACK,RITUAL_CD,,L6_MARK_SHARDING:cd_l6
MP_DELIVERY_MINIMAL,Малый конвейер,Только pipeline и rollback — минимально жизнеспособный delivery-контур.,2,2,CD_PIPELINE,CD_ROLLBACK,,,,L2_GATEWAY_PASS:cd_pass